Cat_ID_timepoint,Cat_ID,Owner_ID,timepoint,date,dob,Age_years,Breed,breed,Sex,neuter_status,weight,BCS,MCS_combined,Heart_murmur,HM_grade,HM_at_least_once,HR,CKD,CKD_IRIS,CKD_over.study,Hypertension,hypertensive_over.study,Diabetes_mellitus,diabetes_over.study,Hyperthyroidism,hyperthyroid_over.study,oe.abnormalities_Yes_no_incomplete,oe.abnormality_score,oe_abnormalities_over_study,Dental_disease,dental_dz_over_study,Neoplasia,neoplasia_over.study,FIV.Y.N.,Medications,log_sbp,SBP,Healthy_visit,Overall_health_status
Cat002_1,Cat002,Own002,1,17/04/2018,19/03/2009,9.07871321,Non-pedigree,DSH,Male,Yes,5.46,7,30,No,0,Yes,168,No,0,No,No,No,No,No,No,No,No,0,1,Yes,1,No,No,No,NA,4.65396035,105,Yes,Not_Healthy
Cat002_2,Cat002,Own002,2,01/05/2019,19/03/2009,10.11635866,Non-pedigree,DSH,Male,Yes,5.86,8,28,No,0,Yes,180,No,0,No,No,No,No,No,No,No,No,0,1,Yes,1,No,No,No,NA,4.852030264,128,Yes,Not_Healthy
Cat002_2.5,Cat002,Own002,2.5,13/11/2019,19/03/2009,10.65297741,Non-pedigree,DSH,Male,Yes,6.32,8,30,No,0,Yes,NA,No,0,No,No,No,No,No,No,No,Yes,2,1,Yes,1,No,No,No,NA,4.787491743,120,Yes,Not_Healthy
Cat002_4.5,Cat002,Own002,4.5,09/11/2021,19/03/2009,12.64339493,Non-pedigree,DSH,Male,Yes,6.3,8,25,No,0,Yes,200,No,0,No,No,No,No,No,No,No,Yes,1,1,No,1,No,No,No,NA,5.010635294,150,Yes,Not_Healthy
Cat002_5,Cat002,Own002,5,10/05/2022,19/03/2009,13.14168378,Non-pedigree,DSH,Male,Yes,5.97,7,25,No,0,Yes,176,No,0,No,No,No,No,No,No,No,Yes,6,1,No,1,No,No,No,No,5.010635294,150,Yes,Not_Healthy
Cat002_5.5,Cat002,Own002,5.5,19/12/2022,19/03/2009,13.7522245,Non-pedigree,DSH,Male,Yes,5.66,7,27,No,0,Yes,172,No,0,No,No,No,No,No,No,No,Yes,2,1,No,1,No,No,No,No,4.941642423,140,Yes,Not_Healthy
Cat002_6,Cat002,Own002,6,28/06/2023,19/03/2009,14.275154,Non-pedigree,DSH,Male,Yes,5.98,7,24,No,0,Yes,180,No,0,No,No,No,No,No,No,No,Yes,8,1,Yes,1,No,No,No,NA,4.86753445,130,No,Not_Healthy
Cat002_6.5,Cat002,Own002,6.5,24/01/2024,19/03/2009,14.85010267,Non-pedigree,DSH,Male,Yes,5.9,7,27,Yes,2,Yes,136,No,0,No,No,No,No,No,No,No,Yes,8,1,Yes,1,No,No,No,No,4.94875989,141,No,Not_Healthy
Cat003_0,Cat003,Own003,0,08/03/2017,08/04/2009,7.915126626,Non-pedigree,DSH,Male,Yes,4.16,6,30,No,0,No,140,No,0,No,No,No,No,No,No,No,No,0,0,Yes,1,No,No,No,NA,4.999237249,148.3,Yes,Healthy
Cat004_0,Cat004,Own004,0,14/03/2017,24/04/2009,7.887748118,Non-pedigree,DSH,Female,Yes,3.85,6,30,No,0,No,200,No,0,No,No,No,No,No,No,No,Yes,4,1,Yes,1,No,No,Yes,NA,5.007296393,149.5,No,Not_Healthy
Cat005_0,Cat005,Own005,0,28/03/2017,04/06/2009,7.813826146,Non-pedigree,DSH,Female,Yes,4.82,7,30,No,0,Yes,188,No,0,No,Yes,No,No,No,No,No,Yes,NA,1,Yes,1,No,No,No,NA,5.085124146,161.6,Yes,Healthy
Cat005_0.5,Cat005,Own005,0.5,26/09/2017,04/06/2009,8.31211499,Non-pedigree,DSH,Female,Yes,4.8,7,30,No,0,Yes,164,No,NA,No,No,No,No,No,No,No,Incomplete_OE,NA,1,Yes,1,No,No,No,NA,4.751864565,115.8,Yes,Healthy
Cat005_1,Cat005,Own005,1,20/03/2018,04/06/2009,8.791238877,Non-pedigree,DSH,Female,Yes,4.79,7,30,No,0,Yes,150,No,0,No,No,No,No,No,No,No,Yes,2,1,Yes,1,No,No,No,NA,4.804021045,122,Yes,Healthy
Cat005_1.5,Cat005,Own005,1.5,13/09/2018,04/06/2009,9.275838467,Non-pedigree,DSH,Female,Yes,4.85,7,30,No,0,Yes,184,No,0,No,No,No,No,No,No,No,NA,NA,1,Yes,1,No,No,No,NA,4.734442522,113.8,Yes,Healthy
Cat005_2,Cat005,Own005,2,27/03/2019,04/06/2009,9.80971937,Non-pedigree,DSH,Female,Yes,4.93,7,30,Yes,2,Yes,186,No,0,No,No,No,No,No,No,No,Yes,1,1,Yes,1,No,No,No,NA,4.864452784,129.6,Yes,Healthy
Cat005_2.5,Cat005,Own005,2.5,07/08/2019,04/06/2009,10.17385352,Non-pedigree,DSH,Female,Yes,4.69,7,26,No,0,Yes,156,No,0,No,No,No,No,No,No,No,NA,NA,1,No,1,No,No,No,NA,4.780802755,119.2,Yes,Healthy
Cat005_3.5,Cat005,Own005,3.5,20/08/2020,04/06/2009,11.21149897,Non-pedigree,DSH,Female,Yes,4.95,7,30,No,0,Yes,152,No,0,No,No,No,No,No,No,No,Incomplete_OE,NA,1,No,1,No,No,No,NA,5.043425117,155,Yes,Healthy
Cat005_4.5,Cat005,Own005,4.5,21/09/2021,04/06/2009,12.29842574,Non-pedigree,DSH,Female,Yes,4.59,7,30,No,0,Yes,168,No,0,No,No,No,No,No,No,No,Incomplete_OE,NA,1,No,1,No,No,No,NA,4.780802755,119.2,Yes,Healthy
Cat005_5.5,Cat005,Own005,5.5,22/11/2022,04/06/2009,13.46748802,Non-pedigree,DSH,Female,Yes,4.36,6,23,Yes,1,Yes,160,No,0,No,No,No,No,No,No,No,Yes,5,1,Yes,1,No,No,No,NA,5.034351821,153.6,Yes,Healthy
Cat006_0,Cat006,Own006,0,28/03/2017,21/09/2009,7.515400411,Pedigree,Persian,Male,Yes,3.94,4,21,No,0,No,180,No,0,No,No,Yes,No,No,No,No,Yes,NA,1,Yes,1,No,No,No,NA,5.033048889,153.4,Yes,Healthy
Cat006_0.5,Cat006,Own006,0.5,12/09/2017,21/09/2009,7.975359343,Pedigree,Persian,Male,Yes,3.9,3,23,No,0,No,196,No,0,No,No,Yes,No,No,No,No,Incomplete_OE,NA,1,No,1,No,No,No,NA,4.850466542,127.8,Yes,Healthy
Cat006_1,Cat006,Own006,1,21/03/2018,21/09/2009,8.495550992,Pedigree,Persian,Male,Yes,3.74,3,20,No,0,No,200,No,0,No,Yes,Yes,No,No,No,No,Yes,2,1,No,1,No,No,No,NA,5.087596335,162,Yes,Healthy
Cat006_1.5,Cat006,Own006,1.5,16/10/2018,21/09/2009,9.067761807,Pedigree,Persian,Male,Yes,3.98,4,25,No,0,No,172,No,0,No,No,Yes,No,No,No,No,NA,NA,1,No,1,No,No,No,NA,4.634728988,103,Yes,Healthy
Cat006_2,Cat006,Own006,2,23/05/2019,21/09/2009,9.667351129,Pedigree,Persian,Male,Yes,3.82,3,NA,No,0,No,192,No,0,No,No,Yes,No,No,No,No,Yes,4,1,No,1,No,No,No,NA,4.895972386,133.75,Yes,Healthy
Cat006_2.5,Cat006,Own006,2.5,07/11/2019,21/09/2009,10.12731006,Pedigree,Persian,Male,Yes,3.9,3,25,No,0,No,186,No,0,No,Yes,Yes,No,No,No,No,Yes,NA,1,No,1,No,No,No,NA,5.18178355,178,Yes,Healthy
Cat007_0,Cat007,Own007,0,19/04/2017,09/04/2010,7.028062971,Pedigree,British short hair,Male,Yes,5.63,7,30,No,0,Yes,156,No,0,No,No,Yes,No,No,No,No,Yes,NA,1,Yes,1,No,Yes,No,NA,4.95053137,141.25,Yes,Not_Healthy
Cat007_0.5,Cat007,Own007,0.5,07/11/2017,09/04/2010,7.58110883,Pedigree,British short hair,Male,Yes,5.87,8,30,No,0,Yes,192,No,0,No,No,Yes,No,No,No,No,Incomplete_OE,NA,1,Yes,1,No,Yes,No,NA,5.072670685,159.6,Yes,Not_Healthy
Cat007_1,Cat007,Own007,1,12/06/2018,09/04/2010,8.17522245,Pedigree,British short hair,Male,Yes,5.74,8,30,No,0,Yes,156,No,0,No,No,Yes,No,No,No,No,Yes,2,1,Yes,1,No,Yes,No,NA,4.890349128,133,Yes,Not_Healthy
Cat007_2,Cat007,Own007,2,11/06/2019,09/04/2010,9.171800137,Pedigree,British short hair,Male,Yes,6.18,9,30,Yes,3,Yes,168,No,0,No,No,Yes,No,No,No,No,Yes,5,1,Yes,1,No,Yes,No,NA,4.916324615,136.5,Yes,Not_Healthy
Cat007_2.5,Cat007,Own007,2.5,28/11/2019,09/04/2010,9.637234771,Pedigree,British short hair,Male,Yes,5.44,8,30,Yes,2,Yes,160,No,0,No,No,Yes,No,No,No,No,NA,NA,1,Yes,1,No,Yes,No,NA,4.817050545,123.6,Yes,Not_Healthy
Cat007_4,Cat007,Own007,4,15/06/2021,09/04/2010,11.18412047,Pedigree,British short hair,Male,Yes,5.43,8,27,Yes,2,Yes,140,No,0,No,Yes,Yes,No,No,No,No,Yes,NA,1,Yes,1,No,Yes,No,NA,5.123963979,168,No,Not_Healthy
Cat007_4.5,Cat007,Own007,4.5,15/12/2021,09/04/2010,11.68514716,Pedigree,British short hair,Male,Yes,5.05,7,20,Yes,2,Yes,160,No,0,No,Yes,Yes,No,No,No,No,Yes,8,1,Yes,1,No,Yes,No,NA,5.206202078,182.4,No,Not_Healthy
Cat008_0,Cat008,Own007,0,19/04/2017,09/04/2010,7.028062971,Pedigree,British short hair,Female,Yes,4,6,30,Yes,1,Yes,220,No,0,No,No,No,No,No,No,No,Yes,1,1,No,1,No,No,No,NA,4.777441407,118.8,Yes,Not_Healthy
Cat008_0.5,Cat008,Own007,0.5,07/11/2017,09/04/2010,7.58110883,Pedigree,British short hair,Female,Yes,3.9,5,29,No,0,Yes,180,No,0,No,No,No,No,No,No,No,Incomplete_OE,NA,1,Yes,1,No,No,No,NA,4.659658371,105.6,Yes,Not_Healthy
Cat008_1,Cat008,Own007,1,17/04/2018,09/04/2010,8.021902806,Pedigree,British short hair,Female,Yes,3.8,6,30,No,0,Yes,168,No,0,No,No,No,No,No,No,No,Incomplete_OE,NA,1,Yes,1,No,No,No,NA,4.955827058,142,Yes,Not_Healthy
Cat008_2,Cat008,Own007,2,11/06/2019,09/04/2010,9.171800137,Pedigree,British short hair,Female,Yes,4.08,7,30,No,0,Yes,204,No,0,No,No,No,No,No,No,No,Incomplete_OE,NA,1,Yes,1,No,No,No,NA,4.935911748,139.2,Yes,Not_Healthy
Cat008_2.5,Cat008,Own007,2.5,28/11/2019,09/04/2010,9.637234771,Pedigree,British short hair,Female,Yes,4.06,7,30,No,0,Yes,200,No,0,No,No,No,No,No,No,No,NA,NA,1,Yes,1,No,No,No,NA,NA,NA,Yes,Not_Healthy
Cat008_4,Cat008,Own007,4,15/06/2021,09/04/2010,11.18412047,Pedigree,British short hair,Female,Yes,3.54,5,25,Yes,2,Yes,172,No,0,No,No,No,No,No,No,No,Incomplete_OE,NA,1,Yes,1,No,No,No,NA,4.964242255,143.2,Yes,Not_Healthy
Cat008_4.5,Cat008,Own007,4.5,15/12/2021,09/04/2010,11.68514716,Pedigree,British short hair,Female,Yes,3.67,5,23,Yes,2,Yes,188,No,0,No,No,No,No,No,No,No,Incomplete_OE,NA,1,No,1,No,No,No,NA,4.86753445,130,Yes,Not_Healthy
Cat008_5.5,Cat008,Own007,5.5,15/12/2022,09/04/2010,12.6844627,Pedigree,British short hair,Female,Yes,3.53,4,20,Yes,4,Yes,180,No,0,No,No,No,No,No,No,No,Incomplete_OE,NA,1,No,1,No,No,No,Solensia,4.934473933,139,No,Not_Healthy
Cat008_6,Cat008,Own007,6,27/06/2023,09/04/2010,13.21560575,Pedigree,British short hair,Female,Yes,3.06,4,20,Yes,4,Yes,180,No,0,No,No,No,No,No,No,No,Yes,12,1,No,1,No,No,No,No medication,4.958639999,142.4,No,Not_Healthy
Cat009_0,Cat009,Own008,0,25/04/2017,04/09/2009,7.638603696,Pedigree,Oriental,Female,Yes,4.02,5,30,No,0,Yes,180,No,0,No,No,No,No,No,No,No,Yes,1,1,Yes,1,No,No,No,NA,NA,NA,Yes,Healthy
Cat009_0.5,Cat009,Own008,0.5,01/11/2017,04/09/2009,8.158795346,Pedigree,Oriental,Female,Yes,3.6,5,30,No,0,Yes,208,No,0,No,No,No,No,No,No,No,Incomplete_OE,NA,1,No,1,No,No,No,NA,NA,NA,Yes,Healthy
Cat009_1,Cat009,Own008,1,19/06/2018,04/09/2009,8.788501027,Pedigree,Oriental,Female,Yes,4.02,5,30,Yes,1,Yes,198,No,0,No,No,No,No,No,No,No,Yes,3,1,Yes,1,No,No,No,NA,4.8978398,134,Yes,Healthy
Cat009_1.5,Cat009,Own008,1.5,17/01/2019,04/09/2009,9.368925394,Pedigree,Oriental,Female,Yes,4.17,6,30,No,0,Yes,224,No,0,No,No,No,No,No,No,No,NA,NA,1,No,1,No,No,No,NA,NA,NA,Yes,Healthy
Cat010_0,Cat010,Own009,0,03/05/2017,24/06/2010,6.858316222,Non-pedigree,DSH,Male,Yes,6.12,7,30,No,0,No,150,No,0,No,No,No,No,No,No,No,Yes,1,1,Yes,1,No,No,No,NA,4.86753445,130,Yes,Healthy
Cat010_1,Cat010,Own009,1,11/04/2018,24/06/2010,7.797399042,Non-pedigree,DSH,Male,Yes,6.47,8,30,No,0,No,160,No,0,No,No,No,No,No,No,No,Yes,4,1,Yes,1,No,No,No,NA,NA,NA,Yes,Healthy
Cat011_0,Cat011,Own010,0,09/05/2017,29/03/2010,7.112936345,Non-pedigree,DSH,Female,Yes,4.86,5,30,No,0,Yes,200,No,0,Yes,No,Yes,No,No,No,Yes,No,0,1,No,1,No,No,No,NA,4.751000634,115.7,Yes,Not_Healthy
Cat011_0.5,Cat011,Own010,0.5,08/11/2017,29/03/2010,7.613963039,Non-pedigree,DSH,Female,Yes,4.69,4,30,No,0,Yes,222,No,0,Yes,No,Yes,No,No,No,Yes,Incomplete_OE,NA,1,No,1,No,No,No,NA,4.80811103,122.5,Yes,Not_Healthy
Cat011_1,Cat011,Own010,1,29/05/2018,29/03/2010,8.167008898,Non-pedigree,DSH,Female,Yes,4.62,5,30,No,0,Yes,162,No,0,Yes,No,Yes,No,No,No,Yes,No,0,1,Yes,1,No,No,No,NA,4.941642423,140,Yes,Not_Healthy
Cat011_1.5,Cat011,Own010,1.5,22/11/2018,29/03/2010,8.651608487,Non-pedigree,DSH,Female,Yes,4.55,6,28,No,0,Yes,192,No,0,Yes,No,Yes,No,No,No,Yes,NA,NA,1,Yes,1,No,No,No,NA,4.925803359,137.8,Yes,Not_Healthy
Cat011_2,Cat011,Own010,2,30/05/2019,29/03/2010,9.169062286,Non-pedigree,DSH,Female,Yes,4.74,6,30,No,0,Yes,234,No,0,Yes,No,Yes,No,No,No,Yes,Yes,1,1,Yes,1,No,No,No,NA,4.774068722,118.4,Yes,Not_Healthy
Cat011_2.5,Cat011,Own010,2.5,26/11/2019,29/03/2010,9.661875428,Non-pedigree,DSH,Female,Yes,5.08,6,30,No,0,Yes,176,No,0,Yes,No,Yes,No,No,No,Yes,NA,NA,1,Yes,1,No,No,No,NA,4.884315927,132.2,Yes,Not_Healthy
Cat011_4,Cat011,Own010,4,08/06/2021,29/03/2010,11.19507187,Non-pedigree,DSH,Female,Yes,5.29,7,27,No,0,Yes,204,No,0,Yes,No,Yes,No,No,No,Yes,Yes,1,1,Yes,1,No,No,No,NA,4.931592087,138.6,Yes,Not_Healthy
Cat011_4.5,Cat011,Own010,4.5,08/02/2022,29/03/2010,11.86584531,Non-pedigree,DSH,Female,Yes,4.91,7,24,No,0,Yes,160,No,0,Yes,Yes,Yes,No,No,Yes,Yes,Yes,3,1,Yes,1,No,No,No,NA,5.077670695,160.4,No,Not_Healthy
Cat011_5,Cat011,Own010,5,01/09/2022,29/03/2010,12.42710472,Non-pedigree,DSH,Female,Yes,4.7,6,20,Yes,1,Yes,180,No,0,Yes,No,Yes,No,No,Yes,Yes,Yes,1,1,Yes,1,No,No,No,Thyronorm,5.044714608,155.2,No,Not_Healthy
Cat011_5.5,Cat011,Own010,5.5,06/03/2023,29/03/2010,12.93634497,Non-pedigree,DSH,Female,Yes,4.62,6,18,No,0,Yes,220,No,0,Yes,No,Yes,No,No,Yes,Yes,Yes,4,1,Yes,1,No,No,No,Thyronorm,5.054971108,156.8,No,Not_Healthy
Cat011_6,Cat011,Own010,6,27/09/2023,29/03/2010,13.49760438,Non-pedigree,DSH,Female,Yes,3.91,5,12,No,0,Yes,180,Yes,2,Yes,Yes,Yes,No,No,Yes,Yes,Yes,10,1,Yes,1,No,No,No,"Thyronorm, meloxicam",5.103518288,164.6,No,Not_Healthy
Cat012_0,Cat012,Own010,0,09/05/2017,29/03/2010,7.112936345,Non-pedigree,DSH,Female,Yes,4.04,4,30,No,0,No,220,No,0,No,No,No,No,No,No,No,No,0,0,Yes,1,No,No,No,NA,4.682131227,108,Yes,Healthy
Cat012_0.5,Cat012,Own010,0.5,08/11/2017,29/03/2010,7.613963039,Non-pedigree,DSH,Female,Yes,4.19,4,30,No,0,No,208,No,0,No,No,No,No,No,No,No,Incomplete_OE,NA,0,No,1,No,No,No,NA,4.682131227,108,Yes,Healthy
Cat012_1,Cat012,Own010,1,29/05/2018,29/03/2010,8.167008898,Non-pedigree,DSH,Female,Yes,4.53,5,30,No,0,No,156,No,0,No,No,No,No,No,No,No,Incomplete_OE,NA,0,No,1,No,No,No,NA,4.718498871,112,Yes,Healthy
Cat012_1.5,Cat012,Own010,1.5,22/11/2018,29/03/2010,8.651608487,Non-pedigree,DSH,Female,Yes,4.51,5,30,No,0,No,168,No,0,No,No,No,No,No,No,No,NA,NA,0,No,1,No,No,No,NA,4.905274778,135,Yes,Healthy
Cat012_2,Cat012,Own010,2,30/05/2019,29/03/2010,9.169062286,Non-pedigree,DSH,Female,Yes,4.71,5,30,No,0,No,210,No,0,No,No,No,No,No,No,No,Incomplete_OE,NA,0,No,1,No,No,No,NA,4.912654886,136,Yes,Healthy
Cat012_2.5,Cat012,Own010,2.5,26/11/2019,29/03/2010,9.661875428,Non-pedigree,DSH,Female,Yes,5.09,7,30,No,0,No,198,No,0,No,No,No,No,No,No,No,NA,NA,0,No,1,No,No,No,NA,4.810557016,122.8,Yes,Healthy
Cat012_4,Cat012,Own010,4,08/06/2021,29/03/2010,11.19507187,Non-pedigree,DSH,Female,Yes,5.21,6,NA,No,0,No,180,No,0,No,NA,No,No,No,No,No,Incomplete_OE,NA,0,Yes,1,No,No,No,NA,NA,NA,Yes,Healthy
Cat012_4.5,Cat012,Own010,4.5,08/02/2022,29/03/2010,11.86584531,Non-pedigree,DSH,Female,Yes,NA,NA,NA,No,0,No,NA,No,0,No,NA,No,No,No,No,No,Incomplete_OE,NA,0,No,1,No,No,No,NA,NA,NA,Yes,Healthy
Cat012_5,Cat012,Own010,5,01/09/2022,29/03/2010,12.42710472,Non-pedigree,DSH,Female,Yes,5.24,7,25,No,0,No,168,No,0,No,NA,No,No,No,No,No,Incomplete_OE,NA,0,No,1,No,No,No,NA,NA,NA,Yes,Healthy
Cat012_5.5,Cat012,Own010,5.5,06/03/2023,29/03/2010,12.93634497,Non-pedigree,DSH,Female,Yes,4.8,7,25,No,0,No,240,No,0,No,NA,No,No,No,No,No,Incomplete_OE,NA,0,NA,1,No,No,No,No medication,NA,NA,Yes,Healthy
Cat013_0,Cat013,Own011,0,16/05/2017,15/05/2010,7.003422313,Non-pedigree,DSH,Male,Yes,5.29,5,30,No,0,Yes,132,No,0,No,No,No,No,No,No,Yes,Yes,NA,1,No,1,No,No,No,NA,4.812184355,123,Yes,Not_Healthy
Cat013_0.5,Cat013,Own011,0.5,14/11/2017,15/05/2010,7.501711157,Non-pedigree,DSH,Male,Yes,5.3,6,30,No,0,Yes,168,No,0,No,No,No,No,No,No,Yes,Incomplete_OE,NA,1,No,1,No,No,No,NA,4.593097605,98.8,Yes,Not_Healthy
Cat013_1,Cat013,Own011,1,01/05/2018,15/05/2010,7.961670089,Non-pedigree,DSH,Male,Yes,5.35,6,30,No,0,Yes,132,No,0,No,No,No,No,No,No,Yes,Yes,NA,1,No,1,No,No,No,NA,4.852030264,128,Yes,Not_Healthy
Cat013_1.5,Cat013,Own011,1.5,08/11/2018,15/05/2010,8.484599589,Non-pedigree,DSH,Male,Yes,5.14,6,30,No,0,Yes,180,No,0,No,No,No,No,No,No,Yes,NA,NA,1,Yes,1,No,No,No,NA,4.79785453,121.25,Yes,Not_Healthy
Cat013_2,Cat013,Own011,2,02/05/2019,15/05/2010,8.963723477,Non-pedigree,DSH,Male,Yes,5.18,6,30,Yes,2,Yes,132,No,0,No,No,No,No,No,No,Yes,Yes,3,1,Yes,1,No,No,No,NA,4.780802755,119.2,Yes,Not_Healthy
Cat013_2.5,Cat013,Own011,2.5,14/11/2019,15/05/2010,9.500342231,Non-pedigree,DSH,Male,Yes,5.05,6,30,Yes,1,Yes,160,No,0,No,No,No,No,No,No,Yes,NA,NA,1,Yes,1,No,No,No,NA,4.763881877,117.2,Yes,Not_Healthy
Cat013_4,Cat013,Own011,4,22/06/2021,15/05/2010,11.10472279,Non-pedigree,DSH,Male,Yes,4.5,5,27,No,0,Yes,144,No,0,No,No,No,No,No,Yes,Yes,Yes,1,1,No,1,No,No,No,NA,4.853591544,128.2,No,Not_Healthy
Cat013_4.5,Cat013,Own011,4.5,15/12/2021,15/05/2010,11.58658453,Non-pedigree,DSH,Male,Yes,4.47,5,20,Yes,3,Yes,184,No,0,No,No,No,No,No,Yes,Yes,Yes,NA,1,Yes,1,No,No,No,Felimazole,4.845760651,127.2,No,Not_Healthy
Cat013_5,Cat013,Own011,5,31/05/2022,15/05/2010,12.04380561,Non-pedigree,DSH,Male,Yes,4.48,5,20,Yes,3,Yes,160,No,0,No,No,No,No,No,Yes,Yes,Yes,14,1,No,1,No,No,No,Felimazole,4.722063937,112.4,No,Not_Healthy
Cat013_5.5,Cat013,Own011,5.5,20/10/2022,15/05/2010,12.43258042,Non-pedigree,DSH,Male,Yes,4.62,5,20,Yes,2,Yes,140,No,0,No,No,No,No,No,Yes,Yes,Yes,8,1,Yes,1,No,No,No,Felimazole,4.900820428,134.4,No,Not_Healthy
Cat013_6,Cat013,Own011,6,24/05/2023,15/05/2010,13.02395619,Non-pedigree,DSH,Male,Yes,4.63,5,22,Yes,3,Yes,160,No,0,No,No,No,No,No,Yes,Yes,Yes,4,1,No,1,No,No,No,Felimazole,4.890349128,133,No,Not_Healthy
Cat014_0,Cat014,Own011,0,23/05/2017,15/05/2010,7.022587269,Non-pedigree,DSH,Female,Yes,6.17,7,30,No,0,No,135,No,0,No,No,No,No,No,No,No,Yes,NA,1,Yes,1,No,No,No,NA,4.59511985,99,Yes,Not_Healthy
Cat014_0.5,Cat014,Own011,0.5,14/11/2017,15/05/2010,7.501711157,Non-pedigree,DSH,Female,Yes,6.16,8,30,No,0,No,140,No,0,No,No,No,No,No,No,No,Incomplete_OE,NA,1,Yes,1,No,No,No,NA,4.979488565,145.4,Yes,Not_Healthy
Cat014_1,Cat014,Own011,1,01/05/2018,15/05/2010,7.961670089,Non-pedigree,DSH,Female,Yes,6.55,9,30,No,0,No,156,No,0,No,No,No,No,No,No,No,Yes,NA,1,Yes,1,No,No,No,NA,4.8978398,134,No,Not_Healthy
Cat014_1.5,Cat014,Own011,1.5,08/11/2018,15/05/2010,8.484599589,Non-pedigree,DSH,Female,Yes,6.44,9,30,No,0,No,156,No,0,No,No,No,No,No,No,No,NA,NA,1,Yes,1,No,No,No,NA,4.82350218,124.4,Yes,Not_Healthy
Cat014_2,Cat014,Own011,2,02/05/2019,15/05/2010,8.963723477,Non-pedigree,DSH,Female,Yes,4.91,5,30,No,0,No,138,No,0,No,Yes,No,No,No,No,No,Incomplete_OE,NA,1,No,1,No,No,No,NA,5.075173815,160,Yes,Not_Healthy
Cat014_2.5,Cat014,Own011,2.5,14/11/2019,15/05/2010,9.500342231,Non-pedigree,DSH,Female,Yes,5.14,5,27,No,0,No,148,No,0,No,No,No,No,No,No,No,NA,NA,1,Yes,1,No,No,No,NA,5.044714608,155.2,Yes,Not_Healthy
